1.58E-03,BAD,01/01/2005 0:00,1.58E-03
1.58E-03,BAD,01/02/2005 0:00,1.58E-03
1.58E-03,BAD,01/03/2005 0:00,1.58E-03
1.57E-03,BAD,01/04/2005 0:00,1.57E-03
1.57E-03,BAD,01/05/2005 0:00,1.57E-03
1.57E-03,BAD,01/06/2005 0:00,1.57E-03
1.57E-03,BAD,01/07/2005 0:00,1.57E-03
1.57E-03,BAD,01/08/2005 0:00,1.57E-03
1.57E-03,BAD,01/09/2005 0:00,1.57E-03
1.57E-03,BAD,01/10/2005 0:00,1.57E-03
1.57E-03,BAD,01/11/2005 0:00,1.57E-03
1.57E-03,BAD,01/12/2005 0:00,1.57E-03
1.57E-03,BAD,1/13/2005 0:00,1.57E-03
1.57E-03,BAD,1/14/2005 0:00,1.57E-03
1.57E-03,BAD,1/15/2005 0:00,1.57E-03
1.57E-03,BAD,1/16/2005 0:00,1.57E-03
1.57E-03,BAD,1/17/2005 0:00,1.57E-03
1.57E-03,BAD,1/18/2005 0:00,1.57E-03
1.57E-03,BAD,1/19/2005 0:00,1.57E-03
1.57E-03,BAD,1/20/2005 0:00,1.57E-03
1.57E-03,BAD,1/21/2005 0:00,1.57E-03
1.57E-03,BAD,1/22/2005 0:00,1.57E-03
1.57E-03,BAD,1/23/2005 0:00,1.57E-03
1.56E-03,BAD,1/24/2005 0:00,1.56E-03
1.56E-03,BAD,1/25/2005 0:00,1.56E-03
1.56E-03,BAD,1/26/2005 0:00,1.56E-03
1.56E-03,BAD,1/27/2005 0:00,1.56E-03
1.56E-03,BAD,1/28/2005 0:00,1.56E-03
1.56E-03,BAD,1/29/2005 0:00,1.56E-03
1.55E-03,BAD,1/30/2005 0:00,1.55E-03
1.55E-03,BAD,1/31/2005 0:00,1.55E-03
